year,ac_no,ac_name,district,turnout_pct,winner_candidate,winner_party,winner_votes,winner_pct,runnerup_candidate,runnerup_party,runnerup_votes,runnerup_pct,margin_votes
2022,316,Nautanwa,Maharajganj,61.5,Rishi Tripathi,NISHAD,90263.0,40.03,Kunwar Kaushal Singh,SP,74392.0,33.23,15691.0
2022,317,Siswa,Maharajganj,65.51,Prem Sagar Patel,BJP,127673.0,50.05,Sushil Kumar Tibrewal,SP,64942.0,25.46,62731.0
2022,318,Maharajganj (SC),Maharajganj,63.45,Jai Mangal Kanojiya,BJP,136071.0,51.08,Nirmesh Mangal,IND,59168.0,22.53,76903.0
2022,319,Paniyara,Maharajganj,61.36,Gyanendra Singh,BJP,135463.0,52.11,Krishnabhan Singh Sainthwar,SP,74035.0,28.48,61428.0
2022,320,Caimpiyarganj,Gorakhpur,58.48,Fateh Bahadur Singh,BJP,122032.0,54.38,Kajal Nishad,SP,79376.0,35.37,42656.0
2022,321,Pipraich,Gorakhpur,63.73,Mahendra Pal Singh,BJP,141780.0,54.86,Amrendra Nishad,SP,76423.0,29.57,65357.0
2022,322,Gorakhpur Urban,Gorakhpur,53.8,Yogi Adityanath,BJP,165499.0,66.18,Subhawati Shukla,SP,62109.0,24.84,103390.0
2022,323,Gorakhpur Rural,Gorakhpur,60.79,Bipin Singh,BJP,126376.0,49.59,Vijay Bahadur Yadav,SP,102306.0,40.14,24070.0
2022,324,Sahajanwa,Gorakhpur,59.13,Pradeep Shukla,BJP,105981.0,47.21,Yashwant Singh Rawat,SP,62575.0,27.87,43406.0
2022,325,Khajani (SC),Gorakhpur,52.31,Sriram Chauhan,BJP,90210.0,45.31,Rupawati Beldar,SP,53109.0,26.71,37101.0
2022,326,Chauri-Chaura,Gorakhpur,57.99,Sarvan Kumar Nishad,BJP,91958.0,44.65,Brijesh Chandra Lal Paswan,SP,50831.0,24.68,41127.0
2022,327,Bansgaon (SC),Gorakhpur,49.48,Vimlesh Paswan,BJP,87224.0,46.26,Sanjay Kumar,SP,54915.0,29.13,32209.0
2022,328,Chillupar,Gorakhpur,52.98,Rajesh Tripathi,BJP,96777.0,42.49,Vinay Shankar Tiwari,SP,75132.0,32.98,21645.0
2022,329,Khadda,Kushinagar,60.27,Vivekanand Pandey,NISHAD,88291.0,43.08,Vijay Pratap Kushwaha,IND,46840.0,22.85,41451.0
2022,330,Padrauna,Kushinagar,60.1,Manish Jaiswal,BJP,114496.0,49.8,Vikram Yadav,SP,72488.0,31.53,42008.0
2022,331,Tamkuhi Raj,Kushinagar,56.6,Asim Kumar,BJP,115123.0,50.81,Uday Narayan,SP,48651.0,21.47,66472.0
2022,332,Fazilnagar,Kushinagar,56.2,Surendra Kumar Kushwaha,BJP,116029.0,51.61,Swami Prasad Maurya,SP,71015.0,31.15,45014.0
2022,333,Kushinagar,Kushinagar,59.23,Panchanand Pathak,BJP,115268.0,52.14,Rajesh Pratap Rao,SP,80478.0,36.4,34790.0
2022,334,Hata,Kushinagar,58.0,Mohan Verma,BJP,120666.0,55.7,Ranvijay Singh,SP,61301.0,28.3,59365.0
2022,335,Ramkola (SC),Kushinagar,57.58,Vinay Prakash Gond,BJP,124792.0,58.27,Purnmasi Dehati,SBSP,52249.0,24.4,72543.0
2022,336,Rudrapur,Deoria,56.59,Jai Prakash Nishad,BJP,78187.0,42.99,Ram Bhuwal Nishad,SP,36251.0,19.93,41936.0
2022,337,Deoria,Deoria,56.69,Shalabh Mani Tripathi,BJP,106701.0,53.52,Ajay Pratap Singh,SP,66046.0,33.13,40655.0
2022,338,Pathardeva,Deoria,59.37,Surya Pratap Shahi,BJP,93858.0,46.65,Brahma Shankar Tripathi,SP,65177.0,32.4,28681.0
2022,339,Rampur Karkhana,Deoria,58.08,Surendra Chaurasia,BJP,90742.0,43.85,Ghazala Lari,SP,76072.0,36.76,14670.0
2022,340,Bhatpar Rani,Deoria,57.43,Sabhakunwar Kushawaha,BJP,91282.0,46.98,Ashutosh Upadhyay,SP,73200.0,37.68,18082.0
2022,341,Salempur (SC),Deoria,51.65,Vijay Laxmi Gautam,BJP,82047.0,46.15,Manbodh Prasad,SBSP,65439.0,36.8,16608.0
2022,342,Barhaj,Deoria,58.11,Deepak Kumar Mishra,BJP,85758.0,46.33,Murli Manohar Jaiswal,SP,68897.0,37.22,16861.0
2022,343,Atrauliya,Azamgarh,60.86,Sangram Yadav,SP,91502.0,39.55,Prashant Singh,NISHAD,74255.0,32.1,17247.0
2022,344,Gopalpur,Azamgarh,58.94,Nafees Ahmad,SP,84401.0,40.87,Satyendra Rai,BJP,60094.0,29.1,24307.0
2022,345,Sagri,Azamgarh,57.77,Hriday Narayan Singh Patel,SP,83093.0,42.76,Smt. Vandana Singh,BJP,60578.0,31.17,22515.0
2022,346,Mubarakpur,Azamgarh,63.29,Akhilesh Yadav,SP,80726.0,36.02,Arvind Jaiswal,BJP,51623.0,23.03,29103.0
2022,347,Azamgarh,Azamgarh,59.64,Durga Prasad Yadav,SP,100813.0,42.66,Akhilesh Kumar Mishra,BJP,84777.0,35.87,16036.0
2022,348,Nizamabad,Azamgarh,56.4,Alambadi,SP,79835.0,43.22,Manoj,BJP,45648.0,24.71,34187.0
2022,349,Phoolpur Pawai,Azamgarh,58.77,Ramakant Yadav,SP,81164.0,42.0,Ramsurat Rajbhar,BJP,55858.0,28.91,25306.0
2022,350,Didarganj,Azamgarh,54.98,Kamlakant Rajbhar,SP,74342.0,36.99,Krishna Murari Vishwakarma,BJP,60781.0,30.25,13561.0
2022,351,Lalganj (SC),Azamgarh,53.65,Bechai Saroj,SP,83767.0,38.31,Neelam Sonkar,BJP,69034.0,31.57,14733.0
2022,352,Mehnagar (SC),Azamgarh,54.67,Puja Saroj,SP,86960.0,39.35,Manju Saroj,BJP,72811.0,32.94,14149.0
2022,353,Madhuban,Mau,55.54,Ram Bilash Chauhan,BJP,79032.0,35.24,Umesh Pandey,SP,74584.0,33.26,4448.0
2022,354,Ghosi,Mau,58.53,Dara Singh Chauhan,SP,108430.0,42.21,Vijay Rajbhar,BJP,86214.0,33.57,22216.0
2022,355,Muhammadabad-Gohna (SC),Mau,60.0,Rajendra Kumar,SP,94688.0,41.48,Smt. Poonam Saroj,BJP,68039.0,29.8,26649.0
2022,356,Mau,Mau,57.92,Abbas Ansari,SBSP,124691.0,44.69,Ashok Singh,BJP,86575.0,31.03,38116.0
2022,357,Belthara Road (SC),Ballia,55.72,Hansu Ram,SBSP,78995.0,39.57,Chhattu Ram,BJP,73481.0,36.81,5514.0
2022,358,Rasara,Ballia,56.28,Umashankar Singh,BSP,87887.0,43.82,Mahendra,SBSP,81304.0,40.54,6583.0
2022,359,Sikanderpur,Ballia,57.3,Mohammed Ziauddin Rizvi,SP,75446.0,42.75,Sanjay Yadav,BJP,63591.0,36.03,11855.0
2022,360,Phephana,Ballia,57.27,Sangram Singh,SP,92516.0,48.78,Upendra Tiwari,BJP,73162.0,38.57,19354.0
2022,361,Ballia Nagar,Ballia,54.04,Daya Shankar Singh,BJP,103873.0,51.22,Narad Rai,SP,77634.0,38.28,26239.0
2022,362,Bansdih,Ballia,53.08,Ketakee Singh,BJP,103305.0,47.67,Ram Govind Chaudhary,SP,81953.0,37.82,21352.0
2022,363,Bairia,Ballia,48.11,Jai Prakash Anchal,SP,71241.0,40.33,Anand Swarup Shukla,BJP,58290.0,33.0,12951.0
2022,364,Badlapur,Jaunpur,59.03,Ramesh Chandra Mishra,BJP,82391.0,39.72,Baba Dubey,SP,81065.0,39.08,1326.0
2022,365,Shahganj,Jaunpur,59.13,Ramesh Singh,NISHAD,87233.0,36.21,Shailendra Yadav Lalai,SP,86514.0,35.91,719.0
