risk_rank,ac_no,constituency,district,risk_score,winner_party_2022,winner_candidate_2022,winner_pct_2022,runnerup_party_2022,runnerup_candidate_2022,runnerup_pct_2022,margin_votes_2022,margin_pct_2022,margin_pct_2017,margin_trend,seat_turnover,closeness_score,trend_score,turnover_score
253,352,Mehnagar (SC),Azamgarh,56.37,SP,Puja Saroj,39.35,BJP,Manju Saroj,32.94,14149.0,6.410000000000004,2.7099999999999973,-3.7000000000000064,False,87.17999999999999,42.59999999999999,0.0
254,402,Obra (ST),Sonbhadra,55.82,BJP,Sanjeev Kumar Gond,48.04,SP,Arvind Kumar,31.83,26442.0,16.21,27.930000000000003,11.720000000000002,False,67.58,73.44,0.0
255,338,Pathardeva,Deoria,55.77,BJP,Surya Pratap Shahi,46.65,SP,Brahma Shankar Tripathi,32.4,28681.0,14.25,22.610000000000003,8.360000000000003,False,71.5,66.72,0.0
256,154,Sawayazpur,Hardoi,55.48,BJP,Madhavendra Pratap,46.03,SP,Padamrag Singh Yadav,35.68,26047.0,10.350000000000001,11.729999999999997,1.3799999999999955,False,79.3,52.75999999999999,0.0
257,97,Firozabad,Firozabad,55.47,BJP,Manish Asiza,43.43,SP,Saifur Rehman,30.71,32955.0,12.719999999999999,18.04,5.32,False,74.56,60.64,0.0
258,303,Kapilvastu (SC),Siddharthnagar,55.23,BJP,Shyam Dhani,48.72,SP,Vinay Paswan,36.46,30939.0,12.259999999999998,16.410000000000004,4.150000000000006,False,75.48,58.30000000000001,0.0
259,169,Bakshi Kaa Talab,Lucknow,55.08,BJP,Yogesh Shukla,46.36,SP,Gomti Yadav,37.65,27788.0,8.71,6.699999999999999,-2.0100000000000016,False,82.58,45.98,0.0
260,224,Mauranipur (SC),Jhansi,55.0,AD(S),Rashmi Arya,51.83,SP,Tilak Chandra Ahirwar,30.68,58595.0,21.15,6.399999999999999,-14.75,True,57.7,20.5,100.0
261,109,Kishni (SC),Mainpuri,54.91,SP,Brajesh Katheriya,49.58,BJP,Priya Ranjan Ashu Diwakar,39.8,19151.0,9.780000000000001,9.259999999999998,-0.5200000000000031,False,80.44,48.959999999999994,0.0
262,395,Chhanbey (SC),Mirzapur,54.88,AD(S),Rahul Prakash Kol,47.29,SP,Kirti,29.71,38113.0,17.58,30.019999999999996,12.439999999999998,False,64.84,74.88,0.0
263,65,Bulandshahr,Bulandshahr,54.77,BJP,Pradeep Kumar Chaudhary,48.94,RLD,Haji Yunus,38.99,25600.0,9.949999999999996,9.490000000000002,-0.45999999999999375,False,80.10000000000001,49.08000000000001,0.0
264,14,Muzaffarnagar,Muzaffarnagar,54.73,BJP,Kapil Dev Aggarwal,49.57,RLD,Saurabh Swaroop,41.28,18694.0,8.29,4.989999999999995,-3.3000000000000043,False,83.42,43.39999999999999,0.0
265,213,Sishamau,Kanpur Nagar,54.72,SP,Haji Irfan Solanki,50.68,BJP,Salil Vishnoi,42.83,12266.0,7.850000000000001,3.8000000000000043,-4.049999999999997,False,84.3,41.900000000000006,0.0
266,64,Sikandrabad,Bulandshahr,54.66,BJP,Lakshmi Raj Singh,46.0,SP,Rahul Yadav,35.26,29343.0,10.740000000000002,11.409999999999997,0.6699999999999946,False,78.52,51.33999999999999,0.0
267,342,Barhaj,Deoria,54.62,BJP,Deepak Kumar Mishra,46.33,SP,Murli Manohar Jaiswal,37.22,16861.0,9.11,7.0000000000000036,-2.109999999999996,False,81.78,45.78000000000001,0.0
268,32,Asmoli,Sambhal,54.6,SP,Pinki Singh Yadav,42.92,BJP,Harendra Kumar,33.23,25206.0,9.690000000000005,8.509999999999998,-1.1800000000000068,False,80.61999999999999,47.639999999999986,0.0
269,211,Kalyanpur,Kanpur Nagar,54.56,BJP,Neelima Katiyar,52.71,SP,Satish Kumar Nigam,41.24,21535.0,11.469999999999999,13.189999999999998,1.7199999999999989,False,77.06,53.44,0.0
270,232,Tindwari,Banda,54.17,BJP,Ramakesh Nishad,44.24,SP,Brijesh Prajapati,29.76,28425.0,14.48,20.56,6.079999999999998,False,71.03999999999999,62.16,0.0
271,333,Kushinagar,Kushinagar,54.15,BJP,Panchanand Pathak,52.14,SP,Rajesh Pratap Rao,36.4,34790.0,15.740000000000002,23.89,8.149999999999999,False,68.52,66.3,0.0
272,191,Kadipur (SC),Sultanpur,54.14,BJP,Rajesh Gautam,43.44,SP,Bhagelu Ram,31.85,25723.0,11.589999999999996,12.8,1.2100000000000044,False,76.82000000000001,52.42000000000001,0.0
273,301,Gaura,Gonda,54.12,BJP,Prabhat Kumar Verma,42.62,SP,Sanjay Kumar,29.31,22974.0,13.309999999999999,17.36,4.050000000000001,False,73.38,58.1,0.0
274,219,Madhogarh,Jalaun,54.08,BJP,Moolchandra Singh,41.29,BSP,Sheetal Kushwaha,27.57,34974.0,13.719999999999999,18.39,4.670000000000002,False,72.56,59.34,0.0
275,8,Kairana,Shamli,53.98,SP,Nahid Hasan,54.16,BJP,Mriganka Singh,43.46,25887.0,10.699999999999996,10.170000000000002,-0.529999999999994,False,78.60000000000001,48.94000000000001,0.0
276,304,Bansi,Siddharthnagar,53.97,BJP,Jai Pratap Singh,44.82,SP,Monu Dubey,34.04,20340.0,10.780000000000001,10.36,-0.4200000000000017,False,78.44,49.16,0.0
277,195,Bhojpur,Farrukhabad,53.89,BJP,Nagendra Singh Rathore,50.68,SP,Arshad Jamal Siddiqui,36.76,27468.0,13.920000000000002,18.609999999999996,4.689999999999994,False,72.16,59.37999999999999,0.0
278,343,Atrauliya,Azamgarh,53.79,SP,Sangram Yadav,39.55,NISHAD,Prashant Singh,32.1,17247.0,7.449999999999996,1.1799999999999997,-6.269999999999996,False,85.10000000000001,37.46000000000001,0.0
279,114,Bilsi,Budaun,53.77,BJP,Harish Chandra Shakya,45.54,SP,Chandra Prakash Maurya,33.31,25115.0,12.229999999999997,13.900000000000002,1.6700000000000053,False,75.54,53.34000000000001,0.0
280,229,Rath (SC),Hamirpur,53.18,BJP,Manisha Anuragi,53.79,SP,Chandravati,29.87,61979.0,23.919999999999998,44.08,20.16,False,52.160000000000004,90.32,0.0
281,48,Meerut,Meerut,53.17,SP,Rafiq Ansari,52.77,BJP,Kamal Dutt Sharma,39.84,26065.0,12.93,14.770000000000003,1.8400000000000034,False,74.14,53.68000000000001,0.0
282,31,Chandausi (SC),Sambhal,52.46,BJP,Gulabo Devi,49.53,SP,Vimlesh Kumar,34.01,35367.0,15.520000000000003,20.48,4.959999999999997,False,68.96,59.919999999999995,0.0
283,396,Mirzapur,Mirzapur,52.37,BJP,Ratnakar Mishra,52.09,SP,Kailash Chaurasia,34.58,39876.0,17.510000000000005,25.640000000000004,8.129999999999999,False,64.97999999999999,66.25999999999999,0.0
284,184,Jagdishpur (SC),Amethi,52.28,BJP,Suresh Kumar,43.94,INC,Vijay Kumar,32.71,22824.0,11.229999999999997,8.75,-2.479999999999997,False,77.54,45.040000000000006,0.0
285,73,Atrauli,Aligarh,52.18,BJP,Sandeep Kumar Singh,52.03,SP,Viresh Yadav,35.75,39324.0,16.28,22.04,5.759999999999998,False,67.44,61.519999999999996,0.0
286,85,Baldev (SC),Mathura,52.0,BJP,Pooran Prakash,44.14,RLD,Babita Devi,33.86,25255.0,10.280000000000001,5.739999999999995,-4.540000000000006,False,79.44,40.91999999999999,0.0
287,94,Bah,Agra,51.92,BJP,Rani Pakshalika Singh,41.16,SP,Madhusudan Sharma,28.43,24235.0,12.729999999999997,12.150000000000002,-0.5799999999999947,False,74.54,48.84000000000001,0.0
288,285,Mahasi,Bahraich,51.62,BJP,Sureshwar Singh,54.58,SP,Krishna Kumar Ojha,34.82,42684.0,19.759999999999998,30.400000000000002,10.640000000000004,False,60.480000000000004,71.28,0.0
289,263,Allahabad South,Prayagraj,51.56,BJP,Nand Gopal Gupta,54.14,SP,Raish Chandra Shukla,39.66,26182.0,14.480000000000004,16.209999999999994,1.7299999999999898,False,71.03999999999999,53.45999999999998,0.0
290,207,Sikandra,Kanpur Dehat,51.55,BJP,Ajit Singh Pal,44.89,SP,Prabhakar Pandey,29.05,31567.0,15.84,19.820000000000004,3.980000000000004,False,68.32,57.96000000000001,0.0
291,172,Lucknow North,Lucknow,51.46,BJP,Neeraj Bora,53.3,SP,Pooja Shukla,40.29,33953.0,13.009999999999998,12.119999999999997,-0.8900000000000006,False,73.98,48.22,0.0
292,268,Barabanki,Barabanki,51.26,SP,Dharmraj Singh Yadav,47.11,BJP,Dr. Ramkumari Maurya,33.95,35050.0,13.159999999999997,12.190000000000001,-0.9699999999999953,False,73.68,48.06000000000001,0.0
293,261,Allahabad West,Prayagraj,51.23,BJP,Sidharth Nath Singh,53.29,SP,Richa Singh,39.86,29933.0,13.43,12.86,-0.5700000000000003,False,73.14,48.86,0.0
294,124,Bareilly,Bareilly,51.18,BJP,Dr. Arun Kumar Saxena,53.77,SP,Rajesh Aggarwal,40.3,32320.0,13.470000000000006,12.880000000000003,-0.5900000000000034,False,73.05999999999999,48.81999999999999,0.0
295,166,Bhagwantnagar,Unnao,51.06,BJP,Ashutosh Shukla,51.28,SP,Ankit Parihar,33.93,43010.0,17.35,23.040000000000003,5.690000000000001,False,65.3,61.38,0.0
296,323,Gorakhpur Rural,Gorakhpur,51.01,BJP,Bipin Singh,49.59,SP,Vijay Bahadur Yadav,40.14,24070.0,9.450000000000003,1.8800000000000026,-7.57,False,81.1,34.86,0.0
297,6,Rampur Maniharan (SC),Saharanpur,50.97,BJP,Devendra Kumar Nim,38.37,BSP,Ravinder Kumar Molhu,29.5,20593.0,8.869999999999997,0.269999999999996,-8.600000000000001,False,82.26,32.8,0.0
298,344,Gopalpur,Azamgarh,50.95,SP,Nafees Ahmad,40.87,BJP,Satyendra Rai,29.1,24307.0,11.769999999999996,7.969999999999999,-3.799999999999997,False,76.46000000000001,42.400000000000006,0.0
299,126,Aonla,Bareilly,50.79,BJP,Dharampal Singh,46.45,SP,Radha Krishan Sharma,36.83,18424.0,9.620000000000005,1.9699999999999989,-7.650000000000006,False,80.75999999999999,34.69999999999999,0.0
300,388,Varanasi North,Varanasi,50.55,BJP,Ravindra Jaiswal,54.61,SP,Ashfaque,38.05,40776.0,16.560000000000002,20.080000000000002,3.5199999999999996,False,66.88,57.04,0.0
301,160,Balamau (SC),Hardoi,50.45,BJP,Ram Pal Verma,42.84,SP,Rambali Verma,29.13,26424.0,13.710000000000004,12.310000000000002,-1.4000000000000021,False,72.57999999999998,47.199999999999996,0.0
302,159,Bilgram-Mallanwan,Hardoi,50.23,BJP,Ashish Kumar Singh,34.96,SP,Brijesh Kumar Verma,24.36,24890.0,10.600000000000001,3.6499999999999986,-6.950000000000003,False,78.8,36.099999999999994,0.0
303,384,Pindra,Varanasi,50.18,BJP,Awadhesh Kumar Singh,38.23,BSP,Babu Lal,22.11,35559.0,16.119999999999997,18.29,2.1700000000000017,False,67.76,54.34,0.0
304,138,Nighasan,Lakhimpur Kheri,49.91,BJP,Shashank Verma,53.41,SP,R S Kushwaha,36.1,41009.0,17.309999999999995,21.009999999999998,3.700000000000003,False,65.38000000000001,57.400000000000006,0.0
305,147,Hargaon (SC),Sitapur,49.88,BJP,Suresh Rahi,52.46,SP,Ramhet Bharti,35.31,38160.0,17.15,20.540000000000003,3.390000000000004,False,65.7,56.78000000000001,0.0
306,86,Etmadpur,Agra,49.54,BJP,Dharampal Singh,48.77,BSP,Praval Pratap Singh,32.83,47924.0,15.940000000000005,16.739999999999995,0.79999999999999,False,68.11999999999999,51.59999999999998,0.0
307,17,Najibabad,Bijnor,49.21,SP,Tasleem Ahmad,44.14,BJP,Kunwar Bharatendu Singh,33.92,23770.0,10.219999999999999,0.9299999999999997,-9.29,False,79.56,31.42,0.0
